Txn_ID Asset_Class Units Price Value Fee Side
T000001 Bond 303.71 1263.48 383731.51 850.9 Buy
T000002 Equity 132.35 1330.07 176034.76 114.94 Buy
T000003 Commodity 424.94 949.28 403387.04 857.31 Sell
T000004 ETF 384.83 323.08 124330.88 71.28 Sell
T000005 Commodity 327.3 227.21 74365.83 95.56 Sell
T000006 ETF 67.81 754.18 51140.95 34.83 Buy
T000007 Commodity 331.68 1272.73 422139.09 892.01 Buy
T000008 Commodity 378.85 214.85 81395.92 66.62 Buy
T000009 Bond 368.22 727.84 268005.24 326.32 Sell
T000010 Bond 116.64 400.21 46680.49 45.19 Sell
T000011 Equity 194.66 1377.26 268097.43 606.73 Sell
T000012 ETF 52.51 1452.82 76287.58 134.81 Sell
T000013 Crypto 289.74 857.39 248420.18 311.35 Sell
T000014 ETF 294.25 1347.85 396604.86 260.04 Sell
T000015 ETF 486.36 338.23 164501.54 215.77 Sell
T000016 Bond 396.54 1331.32 527921.63 270.93 Sell
T000017 Bond 83.64 120.25 10057.71 17.97 Buy
T000018 Equity 94.27 546.52 51520.44 99.67 Buy
T000019 Crypto 207.89 498.69 103672.66 75.34 Sell
T000020 Equity 106.14 246.06 26116.81 56.59 Buy
T000021 Commodity 22.53 862.36 19428.97 15.98 Buy
T000022 Bond 445.51 224.56 100043.73 83.3 Sell
T000023 ETF 300.08 847.59 254344.81 136.64 Buy
T000024 Crypto 109.08 911.76 99454.78 143.5 Buy
T000025 Commodity 110.46 619.1 68385.79 53.71 Buy
T000026 ETF 311.98 768.65 239803.43 200.34 Sell
T000027 Bond 298.67 107.92 32232.47 40.5 Buy
T000028 Crypto 9.26 786.45 7282.53 16.89 Buy
T000029 Commodity 303.15 270.25 81926.29 188.69 Buy
T000030 Equity 439.0 799.49 350976.11 703.63 Sell
T000031 Equity 330.04 1353.47 446699.24 705.15 Sell
T000032 Commodity 261.5 558.71 146102.67 85.74 Sell
T000033 Crypto 115.51 1204.44 139124.86 289.26 Sell
T000034 Commodity 294.93 1113.38 328369.16 664.32 Buy
T000035 Equity 213.32 385.5 82234.86 167.08 Sell
T000036 Equity 299.55 817.88 244995.95 248.82 Buy
T000037 Bond 289.42 181.15 52428.43 26.97 Sell
T000038 Commodity 205.01 164.34 33691.34 45.56 Sell
T000039 Commodity 131.39 806.48 105963.41 172.65 Sell
T000040 Commodity 495.91 599.19 297144.31 269.62 Sell
T000041 ETF 90.18 840.85 75827.85 111.28 Sell
T000042 Equity 387.32 600.2 232469.46 180.43 Buy
T000043 Bond 223.85 1050.47 235147.71 193.67 Sell
T000044 Equity 393.25 1202.28 472796.61 817.02 Buy
T000045 Bond 195.16 955.64 186502.7 393.29 Sell
